"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Baker County,"2021","First Quarter(p)","707","5528","-0.3","766","4.6","Total, all industries","41001","OR"
Benton County,"2021","First Quarter(p)","3017","35581","-6.6","1087","5.3","Total, all industries","41003","OR"
Clackamas County,"2021","First Quarter(p)","16381","161402","-4.5","1153","6.0","Total, all industries","41005","OR"
Clatsop County,"2021","First Quarter(p)","1821","17569","-4.5","807","6.3","Total, all industries","41007","OR"
Columbia County,"2021","First Quarter(p)","1410","11384","-3.8","850","5.6","Total, all industries","41009","OR"
Coos County,"2021","First Quarter(p)","2098","22320","-4.3","813","5.6","Total, all industries","41011","OR"
Crook County,"2021","First Quarter(p)","783","6585","1.7","1055","6.9","Total, all industries","41013","OR"
Curry County,"2021","First Quarter(p)","860","6403","-1.1","774","9.3","Total, all industries","41015","OR"
Deschutes County,"2021","First Quarter(p)","10196","83636","-2.4","1016","8.1","Total, all industries","41017","OR"
Douglas County,"2021","First Quarter(p)","3469","37628","-2.8","849","6.4","Total, all industries","41019","OR"
Gilliam County,"2021","First Quarter(p)","131","831","-9.6","880","-4.9","Total, all industries","41021","OR"
Grant County,"2021","First Quarter(p)","330","2357","-2.7","765","2.8","Total, all industries","41023","OR"
Harney County,"2021","First Quarter(p)","332","2526","2.1","760","4.0","Total, all industries","41025","OR"
Hood River County,"2021","First Quarter(p)","1400","13311","-4.2","850","7.9","Total, all industries","41027","OR"
Jackson County,"2021","First Quarter(p)","8047","87367","-3.5","947","10.0","Total, all industries","41029","OR"
Jefferson County,"2021","First Quarter(p)","645","6738","-3.0","828","5.5","Total, all industries","41031","OR"
Josephine County,"2021","First Quarter(p)","2715","28614","-0.5","778","6.3","Total, all industries","41033","OR"
Klamath County,"2021","First Quarter(p)","2309","22072","-3.1","807","6.0","Total, all industries","41035","OR"
Lake County,"2021","First Quarter(p)","338","2537","0.5","785","-1.0","Total, all industries","41037","OR"
Lane County,"2021","First Quarter(p)","13343","148137","-6.1","950","7.8","Total, all industries","41039","OR"
Lincoln County,"2021","First Quarter(p)","2030","17058","-4.9","807","7.0","Total, all industries","41041","OR"
Linn County,"2021","First Quarter(p)","3901","46572","-2.2","877","3.1","Total, all industries","41043","OR"
Malheur County,"2021","First Quarter(p)","1123","12720","-2.3","777","6.1","Total, all industries","41045","OR"
Marion County,"2021","First Quarter(p)","11839","153750","-2.2","1007","6.7","Total, all industries","41047","OR"
Morrow County,"2021","First Quarter(p)","382","5900","-1.4","1109","2.9","Total, all industries","41049","OR"
Multnomah County,"2021","First Quarter(p)","38526","472669","-9.1","1352","7.8","Total, all industries","41051","OR"
Polk County,"2021","First Quarter(p)","2246","20205","-2.8","792","6.0","Total, all industries","41053","OR"
Sherman County,"2021","First Quarter(p)","119","938","-2.4","911","-2.1","Total, all industries","41055","OR"
Tillamook County,"2021","First Quarter(p)","1057","9321","-2.5","865","7.7","Total, all industries","41057","OR"
Umatilla County,"2021","First Quarter(p)","2426","30436","-1.9","850","5.7","Total, all industries","41059","OR"
Union County,"2021","First Quarter(p)","1019","9967","-2.5","806","8.6","Total, all industries","41061","OR"
Wallowa County,"2021","First Quarter(p)","458","2461","-0.5","762","6.3","Total, all industries","41063","OR"
Wasco County,"2021","First Quarter(p)","1112","10595","-1.9","917","8.1","Total, all industries","41065","OR"
Washington County,"2021","First Quarter(p)","21304","287882","-4.3","1593","4.6","Total, all industries","41067","OR"
Wheeler County,"2021","First Quarter(p)","65","308","-1.0","609","5.0","Total, all industries","41069","OR"
Yamhill County,"2021","First Quarter(p)","3519","35844","-2.5","877","4.7","Total, all industries","41071","OR"
 
