"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Autauga County,"2021","First Quarter(p)","945","11024","-0.4","810","-2.3","Total, all industries","01001","AL"
Baldwin County,"2021","First Quarter(p)","6994","74663","-2.1","771","4.9","Total, all industries","01003","AL"
Barbour County,"2021","First Quarter(p)","576","7621","-8.3","729","-2.3","Total, all industries","01005","AL"
Bibb County,"2021","First Quarter(p)","376","4747","-2.7","824","-5.7","Total, all industries","01007","AL"
Blount County,"2021","First Quarter(p)","837","8441","-1.6","708","3.1","Total, all industries","01009","AL"
Bullock County,"2021","First Quarter(p)","192","2857","-3.0","748","4.0","Total, all industries","01011","AL"
Butler County,"2021","First Quarter(p)","501","6423","-5.2","710","3.5","Total, all industries","01013","AL"
Calhoun County,"2021","First Quarter(p)","2604","43304","-2.9","830","4.4","Total, all industries","01015","AL"
Chambers County,"2021","First Quarter(p)","648","8221","-4.0","769","3.5","Total, all industries","01017","AL"
Cherokee County,"2021","First Quarter(p)","430","5178","0.2","685","4.7","Total, all industries","01019","AL"
Chilton County,"2021","First Quarter(p)","830","9037","-4.8","766","2.4","Total, all industries","01021","AL"
Choctaw County,"2021","First Quarter(p)","340","3729","6.8","1013","-0.4","Total, all industries","01023","AL"
Clarke County,"2021","First Quarter(p)","692","7896","-1.7","836","1.6","Total, all industries","01025","AL"
Clay County,"2021","First Quarter(p)","232","4305","-2.1","752","5.8","Total, all industries","01027","AL"
Cleburne County,"2021","First Quarter(p)","247","2188","5.3","912","14.4","Total, all industries","01029","AL"
Coffee County,"2021","First Quarter(p)","1117","16127","-0.9","704","2.3","Total, all industries","01031","AL"
Colbert County,"2021","First Quarter(p)","1409","23352","-3.1","910","3.5","Total, all industries","01033","AL"
Conecuh County,"2021","First Quarter(p)","259","3239","-4.4","753","4.3","Total, all industries","01035","AL"
Coosa County,"2021","First Quarter(p)","142","1294","-6.6","755","8.3","Total, all industries","01037","AL"
Covington County,"2021","First Quarter(p)","946","11736","-1.6","752","5.0","Total, all industries","01039","AL"
Crenshaw County,"2021","First Quarter(p)","277","3383","-8.6","721","1.7","Total, all industries","01041","AL"
Cullman County,"2021","First Quarter(p)","1925","28938","-0.6","799","5.4","Total, all industries","01043","AL"
Dale County,"2021","First Quarter(p)","913","17197","0.0","1031","-1.7","Total, all industries","01045","AL"
Dallas County,"2021","First Quarter(p)","864","11142","-7.5","788","-2.1","Total, all industries","01047","AL"
DeKalb County,"2021","First Quarter(p)","1281","21949","-1.2","760","3.7","Total, all industries","01049","AL"
Elmore County,"2021","First Quarter(p)","1488","19579","-1.2","699","-0.1","Total, all industries","01051","AL"
Escambia County,"2021","First Quarter(p)","856","12060","-5.8","811","1.2","Total, all industries","01053","AL"
Etowah County,"2021","First Quarter(p)","2162","31754","-8.1","740","-9.8","Total, all industries","01055","AL"
Fayette County,"2021","First Quarter(p)","351","3960","0.1","682","2.6","Total, all industries","01057","AL"
Franklin County,"2021","First Quarter(p)","603","10671","-3.9","724","1.7","Total, all industries","01059","AL"
Geneva County,"2021","First Quarter(p)","529","5021","-0.8","650","1.9","Total, all industries","01061","AL"
Greene County,"2021","First Quarter(p)","171","1790","-5.9","674","5.6","Total, all industries","01063","AL"
Hale County,"2021","First Quarter(p)","295","2496","-5.9","778","8.1","Total, all industries","01065","AL"
Henry County,"2021","First Quarter(p)","358","3553","1.1","787","-1.4","Total, all industries","01067","AL"
Houston County,"2021","First Quarter(p)","3145","47848","-1.5","876","3.8","Total, all industries","01069","AL"
Jackson County,"2021","First Quarter(p)","1034","14831","-3.2","777","8.2","Total, all industries","01071","AL"
Jefferson County,"2021","First Quarter(p)","20006","338092","-3.8","1210","3.0","Total, all industries","01073","AL"
Lamar County,"2021","First Quarter(p)","285","3341","-1.8","778","-4.3","Total, all industries","01075","AL"
Lauderdale County,"2021","First Quarter(p)","2155","28622","-3.4","748","5.1","Total, all industries","01077","AL"
Lawrence County,"2021","First Quarter(p)","480","4890","-1.6","756","5.9","Total, all industries","01079","AL"
Lee County,"2021","First Quarter(p)","3512","58681","-1.4","836","4.8","Total, all industries","01081","AL"
Limestone County,"2021","First Quarter(p)","1582","25701","3.8","963","-0.3","Total, all industries","01083","AL"
Lowndes County,"2021","First Quarter(p)","182","2202","1.5","833","-9.9","Total, all industries","01085","AL"
Macon County,"2021","First Quarter(p)","266","4462","-4.8","893","6.2","Total, all industries","01087","AL"
Madison County,"2021","First Quarter(p)","10789","207167","-0.9","1252","-1.1","Total, all industries","01089","AL"
Marengo County,"2021","First Quarter(p)","517","7168","0.0","858","2.0","Total, all industries","01091","AL"
Marion County,"2021","First Quarter(p)","638","10420","1.1","716","3.3","Total, all industries","01093","AL"
Marshall County,"2021","First Quarter(p)","2181","37796","-1.3","755","2.2","Total, all industries","01095","AL"
Mobile County,"2021","First Quarter(p)","10750","164328","-4.0","965","2.6","Total, all industries","01097","AL"
Monroe County,"2021","First Quarter(p)","470","6147","-3.3","843","-4.1","Total, all industries","01099","AL"
Montgomery County,"2021","First Quarter(p)","6571","125487","-3.5","948","3.4","Total, all industries","01101","AL"
Morgan County,"2021","First Quarter(p)","2890","49305","-2.4","938","1.2","Total, all industries","01103","AL"
Perry County,"2021","First Quarter(p)","163","1852","-6.2","651","3.5","Total, all industries","01105","AL"
Pickens County,"2021","First Quarter(p)","346","3472","-6.5","770","0.8","Total, all industries","01107","AL"
Pike County,"2021","First Quarter(p)","742","14752","1.4","806","0.9","Total, all industries","01109","AL"
Randolph County,"2021","First Quarter(p)","417","4608","-4.5","694","5.2","Total, all industries","01111","AL"
Russell County,"2021","First Quarter(p)","1008","13440","-5.2","775","2.8","Total, all industries","01113","AL"
St. Clair County,"2021","First Quarter(p)","1652","19371","-1.1","804","2.2","Total, all industries","01115","AL"
Shelby County,"2021","First Quarter(p)","6236","82583","-1.6","1170","2.0","Total, all industries","01117","AL"
Sumter County,"2021","First Quarter(p)","270","2783","-5.9","758","0.8","Total, all industries","01119","AL"
Talladega County,"2021","First Quarter(p)","1443","29220","-3.4","859","-0.8","Total, all industries","01121","AL"
Tallapoosa County,"2021","First Quarter(p)","906","12462","-4.7","719","5.7","Total, all industries","01123","AL"
Tuscaloosa County,"2021","First Quarter(p)","4765","90407","-7.1","949","3.0","Total, all industries","01125","AL"
Walker County,"2021","First Quarter(p)","1424","17617","-1.7","771","1.4","Total, all industries","01127","AL"
Washington County,"2021","First Quarter(p)","271","3487","-4.5","1282","-0.9","Total, all industries","01129","AL"
Wilcox County,"2021","First Quarter(p)","250","2548","-7.2","920","3.3","Total, all industries","01131","AL"
Winston County,"2021","First Quarter(p)","487","8114","-1.8","751","0.4","Total, all industries","01133","AL"
 
